2021-04-14 15:47:25.400 -03:00 [INF] Comenzando descarga...
2021-04-14 15:48:28.534 -03:00 [INF] Mb descargados 4.00

2021-04-14 15:48:30.808 -03:00 [INF] Mb descargados 8.00

2021-04-14 15:48:30.812 -03:00 [INF] Mb descargados 12.00

2021-04-14 15:48:30.815 -03:00 [INF] Mb descargados 16.00

2021-04-14 15:48:30.818 -03:00 [INF] Mb descargados 20.00

2021-04-14 15:49:19.179 -03:00 [INF] Mb descargados 24.00

2021-04-14 15:49:21.645 -03:00 [INF] Mb descargados 28.00

2021-04-14 15:49:21.647 -03:00 [INF] Mb descargados 32.00

2021-04-14 15:49:25.058 -03:00 [INF] Mb descargados 36.00

2021-04-14 15:49:25.556 -03:00 [INF] Mb descargados 40.00

2021-04-14 15:50:16.340 -03:00 [INF] Mb descargados 44.00

2021-04-14 15:50:16.343 -03:00 [INF] Mb descargados 48.00

2021-04-14 15:50:16.346 -03:00 [INF] Mb descargados 52.00

2021-04-14 15:50:20.065 -03:00 [INF] Mb descargados 56.00

2021-04-14 15:50:21.249 -03:00 [INF] Mb descargados 60.00

2021-04-14 15:51:05.708 -03:00 [INF] Mb descargados 64.00

2021-04-14 15:51:09.152 -03:00 [INF] Mb descargados 68.00

2021-04-14 15:51:09.155 -03:00 [INF] Mb descargados 72.00

2021-04-14 15:51:10.580 -03:00 [INF] Mb descargados 76.00

2021-04-14 15:51:10.583 -03:00 [INF] Mb descargados 80.00

2021-04-14 15:51:57.799 -03:00 [INF] Mb descargados 84.00

2021-04-14 15:51:57.872 -03:00 [INF] Mb descargados 88.00

2021-04-14 15:51:58.606 -03:00 [INF] Mb descargados 92.00

2021-04-14 15:52:05.043 -03:00 [INF] Mb descargados 96.00

2021-04-14 15:52:05.046 -03:00 [INF] Mb descargados 100.00

2021-04-14 15:56:06.099 -03:00 [ERR] 
La transferencia fue cancelada: Haciendo retry porque han pasado: 241 segundos sin transferencia
2021-04-14 15:56:06.189 -03:00 [INF] Mb descargados 100.00

2021-04-14 15:56:09.117 -03:00 [INF] Mb descargados 100.00

2021-04-14 15:57:00.182 -03:00 [INF] Mb descargados 104.00

2021-04-14 15:57:01.386 -03:00 [INF] Mb descargados 108.00

2021-04-14 15:57:03.426 -03:00 [INF] Mb descargados 112.00

2021-04-14 15:57:03.429 -03:00 [INF] Mb descargados 116.00

2021-04-14 15:57:03.432 -03:00 [INF] Mb descargados 120.00

2021-04-14 15:57:55.282 -03:00 [INF] Mb descargados 124.00

2021-04-14 15:57:57.176 -03:00 [INF] Mb descargados 128.00

2021-04-14 15:57:57.180 -03:00 [INF] Mb descargados 132.00

2021-04-14 15:57:58.483 -03:00 [INF] Mb descargados 136.00

2021-04-14 15:57:58.485 -03:00 [INF] Mb descargados 140.00

2021-04-14 15:58:48.278 -03:00 [INF] Mb descargados 144.00

2021-04-14 15:58:51.095 -03:00 [INF] Mb descargados 148.00

2021-04-14 15:58:52.002 -03:00 [INF] Mb descargados 152.00

2021-04-14 15:58:53.226 -03:00 [INF] Mb descargados 156.00

2021-04-14 15:58:55.132 -03:00 [INF] Mb descargados 160.00

2021-04-14 15:59:41.869 -03:00 [INF] Mb descargados 164.00

2021-04-14 15:59:48.261 -03:00 [INF] Mb descargados 168.00

2021-04-14 15:59:48.264 -03:00 [INF] Mb descargados 172.00

2021-04-14 15:59:49.302 -03:00 [INF] Mb descargados 176.00

2021-04-14 15:59:51.288 -03:00 [INF] Mb descargados 180.00

2021-04-14 16:00:34.839 -03:00 [INF] Mb descargados 184.00

2021-04-14 16:00:41.143 -03:00 [INF] Mb descargados 188.00

2021-04-14 16:00:42.357 -03:00 [INF] Mb descargados 192.00

2021-04-14 16:00:46.098 -03:00 [INF] Mb descargados 196.00

2021-04-14 16:00:46.180 -03:00 [INF] Mb descargados 200.00

2021-04-14 16:01:28.916 -03:00 [INF] Mb descargados 204.00

2021-04-14 16:01:35.414 -03:00 [INF] Mb descargados 208.00

2021-04-14 16:01:35.416 -03:00 [INF] Mb descargados 212.00

2021-04-14 16:01:43.321 -03:00 [INF] Mb descargados 216.00

