2021-04-14 20:48:58.453 -03:00 [INF] /////////// Ejecutando el script de BD ///////////
2021-04-14 20:48:59.116 -03:00 [INF] Script ejecutado correctamente en la BD ! 
2021-04-14 20:48:59.186 -03:00 [INF] Comenzando descarga...
2021-04-14 20:50:06.806 -03:00 [INF] Mb descargados 4.00

2021-04-14 20:50:07.475 -03:00 [INF] Mb descargados 8.00

2021-04-14 20:50:11.145 -03:00 [INF] Mb descargados 12.00

2021-04-14 20:50:11.147 -03:00 [INF] Mb descargados 16.00

2021-04-14 20:50:47.755 -03:00 [INF] Mb descargados 20.00

2021-04-14 20:51:05.711 -03:00 [INF] Mb descargados 24.00

2021-04-14 20:51:11.022 -03:00 [INF] Mb descargados 28.00

2021-04-14 20:51:12.126 -03:00 [INF] Mb descargados 32.00

2021-04-14 20:51:13.480 -03:00 [INF] Mb descargados 36.00

2021-04-14 20:52:28.324 -03:00 [INF] Mb descargados 40.00

2021-04-14 20:52:28.326 -03:00 [INF] Mb descargados 44.00

2021-04-14 20:52:28.328 -03:00 [INF] Mb descargados 48.00

2021-04-14 20:52:28.331 -03:00 [INF] Mb descargados 52.00

2021-04-14 20:52:28.334 -03:00 [INF] Mb descargados 56.00

2021-04-14 20:53:15.966 -03:00 [INF] Mb descargados 60.00

2021-04-14 20:53:22.128 -03:00 [INF] Mb descargados 64.00

2021-04-14 20:53:22.130 -03:00 [INF] Mb descargados 68.00

2021-04-14 20:53:22.136 -03:00 [INF] Mb descargados 72.00

2021-04-14 20:54:07.847 -03:00 [INF] Mb descargados 76.00

2021-04-14 20:54:20.078 -03:00 [INF] Mb descargados 80.00

2021-04-14 20:54:20.081 -03:00 [INF] Mb descargados 84.00

2021-04-14 20:54:21.364 -03:00 [INF] Mb descargados 88.00

2021-04-14 20:54:23.018 -03:00 [INF] Mb descargados 92.00

2021-04-14 20:55:37.991 -03:00 [INF] Mb descargados 96.00

2021-04-14 20:55:37.993 -03:00 [INF] Mb descargados 100.00

2021-04-14 20:55:37.996 -03:00 [INF] Mb descargados 104.00

2021-04-14 20:55:38.001 -03:00 [INF] Mb descargados 112.00

2021-04-14 20:55:37.999 -03:00 [INF] Mb descargados 108.00

2021-04-14 20:56:20.386 -03:00 [INF] Mb descargados 116.00

2021-04-14 20:56:20.995 -03:00 [INF] Mb descargados 120.00

2021-04-14 20:56:26.281 -03:00 [INF] Mb descargados 124.00

2021-04-14 20:56:26.283 -03:00 [INF] Mb descargados 128.00

2021-04-14 20:57:14.624 -03:00 [INF] Mb descargados 132.00

2021-04-14 20:57:22.077 -03:00 [INF] Mb descargados 136.00

2021-04-14 20:57:22.079 -03:00 [INF] Mb descargados 140.00

