2021-04-12 20:32:13.934 -03:00 [INF] Comenzando descarga...
2021-04-12 20:33:23.339 -03:00 [INF] Mb descargados 8.00

2021-04-12 20:33:23.339 -03:00 [INF] Mb descargados 4.00

2021-04-12 20:33:31.044 -03:00 [INF] Mb descargados 12.00

2021-04-12 20:33:31.047 -03:00 [INF] Mb descargados 16.00

2021-04-12 20:33:31.049 -03:00 [INF] Mb descargados 20.00

2021-04-12 20:34:20.989 -03:00 [INF] Mb descargados 24.00

2021-04-12 20:34:21.449 -03:00 [INF] Mb descargados 28.00

2021-04-12 20:34:23.708 -03:00 [INF] Mb descargados 32.00

2021-04-12 20:34:30.464 -03:00 [INF] Mb descargados 36.00

2021-04-12 20:34:40.165 -03:00 [INF] Mb descargados 40.00

2021-04-12 20:35:22.013 -03:00 [INF] Mb descargados 44.00

2021-04-12 20:35:23.826 -03:00 [INF] Mb descargados 48.00

2021-04-12 20:35:24.421 -03:00 [INF] Mb descargados 52.00

2021-04-12 20:35:30.254 -03:00 [INF] Mb descargados 56.00

2021-04-12 20:35:45.683 -03:00 [INF] Mb descargados 60.00

2021-04-12 20:36:23.986 -03:00 [INF] Mb descargados 64.00

2021-04-12 20:36:24.932 -03:00 [INF] Mb descargados 68.00

2021-04-12 20:36:24.937 -03:00 [INF] Mb descargados 72.00

2021-04-12 20:36:30.821 -03:00 [INF] Mb descargados 76.00

2021-04-12 20:36:48.353 -03:00 [INF] Mb descargados 80.00

2021-04-12 20:37:23.364 -03:00 [INF] Mb descargados 84.00

2021-04-12 20:37:23.369 -03:00 [INF] Mb descargados 88.00

2021-04-12 20:37:23.373 -03:00 [INF] Mb descargados 92.00

2021-04-12 20:37:29.561 -03:00 [INF] Mb descargados 96.00

2021-04-12 20:37:48.847 -03:00 [INF] Mb descargados 100.00

2021-04-12 20:38:18.311 -03:00 [INF] Mb descargados 104.00

2021-04-12 20:38:21.417 -03:00 [INF] Mb descargados 108.00

2021-04-12 20:38:21.423 -03:00 [INF] Mb descargados 112.00

2021-04-12 20:38:29.976 -03:00 [INF] Mb descargados 116.00

2021-04-12 20:38:47.564 -03:00 [INF] Mb descargados 120.00

2021-04-12 20:39:18.610 -03:00 [INF] Mb descargados 124.00

2021-04-12 20:39:20.375 -03:00 [INF] Mb descargados 128.00

2021-04-12 20:39:22.724 -03:00 [INF] Mb descargados 132.00

2021-04-12 20:39:29.091 -03:00 [INF] Mb descargados 136.00

2021-04-12 20:39:48.330 -03:00 [INF] Mb descargados 140.00

2021-04-12 20:40:19.196 -03:00 [INF] Mb descargados 144.00

2021-04-12 20:40:20.308 -03:00 [INF] Mb descargados 148.00

2021-04-12 20:40:22.229 -03:00 [INF] Mb descargados 152.00

2021-04-12 20:40:29.691 -03:00 [INF] Mb descargados 156.00

2021-04-12 20:40:53.031 -03:00 [INF] Mb descargados 160.00

2021-04-12 20:41:18.568 -03:00 [INF] Mb descargados 164.00

2021-04-12 20:41:18.570 -03:00 [INF] Mb descargados 168.00

2021-04-12 20:41:21.108 -03:00 [INF] Mb descargados 172.00

2021-04-12 20:41:31.054 -03:00 [INF] Mb descargados 176.00

2021-04-12 20:41:54.137 -03:00 [INF] Mb descargados 180.00

2021-04-12 20:42:16.174 -03:00 [INF] Mb descargados 184.00

2021-04-12 20:42:18.317 -03:00 [INF] Mb descargados 188.00

2021-04-12 20:42:23.190 -03:00 [INF] Mb descargados 192.00

